vuln_id,repo,packages,num_commits_kb,commits_processed,functions_extracted,num_functions
CVE-2018-8008,apache/storm,,4,2,FileOutputStream;IOException;canUserReadBlob;copyBytes;currentClasspathImpl;downloadBlob;downloadToTempLocation;ensureDirectory;execCommand;extractZipFile;handleUncaughtException;isAbsolutePath;parsePerms;secureRandomLong;unJar;unTar;unTarUsingJava;unTarUsingTar;unZip;unpack;unpackEntries,21
CVE-2018-8009,apache/hadoop,org.apache.avro/avro-tools;org.apache.hadoop/hadoop-common;org.apache.hadoop/hadoop-core,13,2,IOException;getDU;unJar;unTarUsingJava;unpackEntries,5
CVE-2018-8012,apache/zookeeper,org.apache.avro/avro-tools;org.apache.zookeeper/zookeeper,3,2,BufferedInputStream;ClientCallbackHandler;DataInputStream;IN_PROGRESS;IOException;IllegalArgumentException;LearnerHandler;LoginException;QuorumAuthPacket;QuorumCnxManager;QuorumConnectionReceiverThread;QuorumConnectionReqThread;QuorumPeer;QuorumServer;RecvWorker;SaslClientCallbackHandler;SaslException;SaslQuorumAuthLearner;SaslQuorumAuthServer;SaslQuorumServerCallbackHandler;SaslServerCallbackHandler;Status;UnsupportedCallbackException;authenticate;check;checkAuthStatus;closeSocket;connectOne;connectToLeader;connectedToPeer;createCnxnManager;createElectionAlgorithm;createPacket;createSaslClient;createSaslServer;createSaslToken;findLeader;followLeader;getComponents;getConnectionThreadCount;getQuorumPeer;getServerPrincipal;getStatus;halt;handle;handleAuthorizeCallback;handleConnection;handleNameCallback;handlePasswordCallback;handleRealmCallback;initialize;initializeAuth;initiateConnection;initiateConnectionAsync;isQuorumLearnerSaslAuthRequired;isQuorumSaslAuthEnabled;isQuorumServerSaslAuthRequired;login;newThread;nextPacketIsAuth;observeLeader;packetToString;parse;parseProperties;pollRecvQueue;receive;receiveConnection;receiveConnectionAsync;replacePattern;request;resetConnectionThreadCount;run;runFromConfig;send;setClientAddress;setCurrentVote;setElectionTimeTaken;setQuorumCnxnThreadsSize;setQuorumLearnerLoginContext;setQuorumLearnerSaslRequired;setQuorumSaslEnabled;setQuorumServerLoginContext;setQuorumServerSaslRequired;setQuorumServicePrincipal;setSockOpts;sockConnect;startConnection;status;testInitiateConnection;testingQuorumPeer;toSend,91
CVE-2018-8014,apache/tomcat,org.apache.tomcat/tomcat-catalina;org.apache.tomcat.embed/tomcat-embed-core,1,1,ServletException;handleSimpleCORS;parseAndStore,3
CVE-2018-8015,apache/orc,org.apache.orc/orc-core,1,1,IOException;ReaderImpl;appendOrcTypesRebuildSubtypes;isValidTypeTree,4
CVE-2018-8016,beobal/cassandra,org.apache.cassandra/cassandra-all,1,1,NotBoundException;Registry;UnsupportedOperationException;authenticate;bind;configureRMIRegistry;createJMXServer;exportObject;list;lookup;rebind;unbind;unexportObject,13
CVE-2018-8017,apache/tika,org.apache.tika/tika-parsers;org.apache.tika/tika-app,2,2,parseBody;parseFooter,2
CVE-2018-8018,apache/ignite,org.apache.ignite/ignite-core,2,2,ClientJdkInputStream;GridClientJdkMarshaller;GridTcpRouterNioListenerAdapter;IgniteCheckedException;IgniteException;RuntimeException;addClassNames;classBlackList;classNameFilter;classWhiteList;client;jobSenderVersion;start;startProcessor;this,15
CVE-2018-8025,apache/hbase,,5,2,RemoteUserIdentity;doKerberosAuth;doPost,3
CVE-2018-8026,apache/lucene-solr,org.apache.solr/solr-core;org.apache.solr/solr-cell,5,2,EnumMapping;ParseContextConfig;SafeXMLParsing;SolrException;addRate;getEnumMapping;getUntrustedDocumentBuilder;listAvailableCurrencies;parseConfigXML;parseUntrustedXML;trySetDOMFeature,11
CVE-2018-8027,apache/camel,org.apache.camel/camel-core;org.apache.activemq/activemq-all,12,2,IllegalStateException;createSchemaFactory,2
CVE-2018-8030,apache/qpid-broker-j,org.apache.qpid/qpid-broker-plugins-amqp-0-8-protocol,1,1,publishContentHeader;receiveMessageHeader,2
CVE-2018-8034,apache/tomcat,org.apache.tomcat/tomcat-websocket;org.apache.tomcat.embed/tomcat-embed-core;org.apache.tomcat.embed/tomcat-embed-websocket,1,1,connectToServerRecursive;createSSLEngine;readLine;verification,4
CVE-2018-8037,apache/tomcat,org.apache.tomcat/tomcat-coyote;org.apache.tomcat.embed/tomcat-embed-core,1,1,cancelledKey;close;initialValue;run,4
CVE-2018-8038,apache/cxf-fediz,,1,1,,0
CVE-2018-8041,apache/camel,,4,2,DelegatingDataSource;extractAttachmentsFromMultipart;getContentType;getInputStream;getName;getOutputStream,6
CVE-2018-8088,qos-ch/slf4j,org.slf4j/slf4j-ext,1,1,EventData;EventException;EventLogger;IllegalArgumentException;equals;exceptionThrown;get;getEntrySetIterator;getEventDateTime;getEventId;getEventMap;getEventType;getMessage;getSize;hashCode;logEvent;lookup;put;putAll;setEventDateTime;setEventId;setEventType;setMessage;toString;toXML,25
CVE-2018-8128,chakra-core/ChakraCore,,1,1,Assert;ClearBorrowedInlineCacheOnFunctionObject;ClearInlineCacheOnFunctionObject;Field;GetHasOwnInlineCaches;JS_ETW;ScriptFunction;SetHasInlineCaches;SetInlineCachesFromFunctionBody;_alloca_probe_16,10
CVE-2018-8177,chakra-core/ChakraCore,,1,1,InsertBranch,1
CVE-2018-8178,chakra-core/ChakraCore,,1,1,DoExpirableCollectModeStackWalk;PreRescanMarkCallback,2
CVE-2018-8381,chakra-core/ChakraCore,,1,1,,0
CVE-2018-8390,chakra-core/ChakraCore,,1,1,,0
CVE-2018-8718,jenkinsci/mailer-plugin,,1,1,doCheckDefaultSuffix;doSendTestMail,2
CVE-2018-9159,perwendel/spark,,2,2,ClassPathResource;createRelative;doesNotContainFileColon;equals;exists;getInputStream;getPath;getURL;isInvalidPath;isValid,10
CVE-2018-9206,blueimp/jQuery-File-Upload,,1,1,,0
CVE-2018-9856,Kotti/Kotti,,1,1,HTTPBadRequest;search_principals;with_roles,3
CVE-2019-0191,apache/karaf,,2,2,extract,1
CVE-2019-0193,apache/lucene-solr,org.apache.solr/solr-core;org.apache.solr/solr-dataimporthandler,1,1,SolrException;handleRequestBody;loadJar,3
CVE-2019-0194,apache/camel,org.apache.camel/camel-core;org.apache.camel/camel-file;org.apache.activemq/activemq-all,10,2,IllegalArgumentException;createFileName;isJailStartingDirectory;setAllowNullBody;setJailStartingDirectory,5
CVE-2019-0199,apache/tomcat,org.apache.tomcat/tomcat-catalina;org.apache.tomcat/tomcat-coyote;org.apache.tomcat/catalina;org.apache.tomcat.embed/tomcat-embed-core,14,2,IOException;doRead;getStreamReadTimeout;getStreamWriteTimeout;getWriteTimeout;reserveWindowSize;setKeepAliveTimeout;setReadTimeout;setStreamReadTimeout;setStreamWriteTimeout;setWriteTimeout;wait,12
CVE-2019-0200,apache/qpid-broker-j,org.apache.qpid/qpid-broker-plugins-amqp-1-0-protocol;org.apache.qpid/qpid-broker-core;org.apache.qpid/qpid-broker-plugins-amqp-0-10-protocol;org.apache.qpid/qpid-broker-plugins-amqp-0-8-protocol;org.apache.qpid/qpid-broker-plugins-jdbc-store;org.apache.qpid/qpid-broker-plugins-management-amqp,3,2,BasicContentHeaderProperties;IllegalArgumentException;IllegalStateException;LogMessage;MALFORMED_MESSAGE;MessageConversionException;addToExpired;addToMalformed;apply;checkForNotification;checkMessageStatus;checkValid;clear;closeMessageStore;convertToFieldTable;createMessageContent;createMetaData;decode;decodeIfNecessary;deleteEntry;deserializeMessages;doEnqueue;doSend;enqueue;enqueueFromPostRecoveryQueue;equals;execute;expireEntry;flowNewEntryToDiskIfNecessary;flowTailToDiskIfNecessary;flowToDisk;getContent;getEncodedSize;getExpiredSize;getLogHierarchy;getLogSubject;getMalformedCount;getMalformedSize;getMessageInfoById;getMessageMetaData;getMessageType;getTotalMalformedBytes;getTotalMalformedMessages;getValidationStatus;hashCode;logMalformedMessage;malformedEntry;nullEncodedForm;onMessageEnqueue;onOpen;onReceive;publishContentHeader;reallocate;reallocateMessages;recalculateEncodedSize;receiveMessageHeader;routeToAlternate;run;setSoft;toString;validate;visit,62
CVE-2019-0201,apache/zookeeper,org.apache.zookeeper/zookeeper,3,2,processRequest,1
CVE-2019-0207,https://gitbox.apache.org/repos/asf/tapestry-5,,1,0,,0
CVE-2019-0212,apache/hbase,,2,2,IllegalStateException;RESTServer;RESTServletContainer;addCSRFFilter;getConf;getConfiguration;getInfoPort;getPort;getTrimmedStringList;join;main;parseCommandLine;printUsageAndExit;replace;run;stop;update,17
CVE-2019-0213,apache/archiva,,1,1,RepositoryAdminException;checkUrl;getModelMapper;getOrganisationInformation,4
CVE-2019-0214,apache/archiva,,1,1,ArchivaRestServiceException;RepositoryAdminException;checkUrl;convertName;fixUrl;getOrganisationInformation;setOrganisationInformation,7
CVE-2019-0221,apache/tomcat,org.apache.tomcat/tomcat-catalina;org.apache.tomcat.embed/tomcat-embed-core;org.glassfish.embedded/glassfish-embedded-all,3,1,process,1
CVE-2019-0225,apache/jspwiki,,1,1,,0
CVE-2019-0226,apache/karaf,,1,1,IllegalArgumentException;create,2
CVE-2019-0231,apache/mina,org.apache.mina/mina-core,2,2,AbstractAuthLogicHandler;AbstractHttpLogicHandler;HttpBasicAuthLogicHandler;HttpDigestAuthLogicHandler;HttpNTLMAuthLogicHandler;HttpNoAuthLogicHandler;HttpSmartProxyHandler;SSLException;SerialConnector;Socks4LogicHandler;Socks5LogicHandler;autoSelectAuthHandler;block;checkStatus;cleanUp;cleanup;connect0;decode;deflate;dispose;doHandshake;encode;encodeGSSAPIAuthenticationPacket;expandAttribute;finishDecode;flushPendingWriteRequests;getHost;handleResponse;inflate;initializeSession;initiateHandshake;internalFlush;invoke;isConnectionOk;isOrderedMap;log;messageReceived;messageSent;onPostRemove;onPreAdd;print;reconnect;sessionClosed;sessionCreated;sessionIdle;sessionOpened;setBlacklist;setHandshakeComplete;toString;unblock;writeBuffer;writeData;writeRequest;writeRequest0,54
CVE-2019-0232,apache/tomcat,org.apache.tomcat/tomcat-catalina;org.apache.tomcat.embed/tomcat-embed-core,2,2,enabled;init;setCGIEnvironment;setupFromRequest,4
CVE-2019-0911,chakra-core/ChakraCore,,1,1,,0
CVE-2019-0912,chakra-core/ChakraCore,,1,1,KillAllObjectTypes;KillLiveFields,2
CVE-2019-0917,chakra-core/ChakraCore,,1,1,,0
CVE-2019-0922,chakra-core/ChakraCore,,1,1,UpdateValue,1
CVE-2019-0924,chakra-core/ChakraCore,,1,1,Assert;AssertMsg;MACRO_BACKEND_ONLY;MACRO_WMS;RemoveLoweredRegionStartMarker,5
CVE-2019-0925,chakra-core/ChakraCore,,1,1,,0
CVE-2019-0933,chakra-core/ChakraCore,,1,1,,0
CVE-2019-1000005,mpdf/mpdf,,1,1,foreach;hasBlacklistedStreamWrapper;setLogger;urldecodeParts,4
CVE-2019-1000007,horazont/aioxmpp,,1,1,enforce_unknown_child_policy;next,2
CVE-2019-1000021,poezio/slixmpp,,1,1,XEP_0223,1
CVE-2019-1003005,jenkinsci/script-security-plugin,,1,1,GroovyShell,1
CVE-2019-1003010,jenkinsci/git-plugin,,1,1,getTooltip,1
CVE-2019-1003012,jenkinsci/blueocean-plugin,,1,1,execute;getCrumbHeaderName;getCrumbRequestField;getCrumbToken;getExclusionPath;getLang;loadConfig;newPluginXHR;process,9
