vuln_id,affected_package,ecosystem,severity,fix_commits_found,functions_mined,num_functions_mined,functions_capped,source_repo
GHSA-qh2x-hpf9-cf2g,python-keystoneclient,pypi,medium,4,HTTPSConnectionWithValidation;ServerProxy;__call__;__init__;_combine_certs_to_file;_consistency_watchdog;_fetch_and_store_cert;_file_put_contents;_get_ca_cert_paths;_get_combined_cert_for_server;_get_host_cert_path;_put_consistency_hash;action_success;connect;get_capabilities;rest_call,16,True,openstack/cinder
GHSA-cqg4-rf29-3mv6,trytond,pypi,high,1,ModelStorage,1,False,tryton/trytond
GHSA-vwxc-3cfr-37jq,golismero,pypi,low,0,,0,False,
GHSA-694v-63fq-fmr4,scout-browser,pypi,medium,2,clear_session_tracks;igv;omim_case_fix_format;remote_cors;remote_static;sashimi_igv;set_session_tracks;unindexed_remote_static,8,False,clinical-genomics/scout
GHSA-jmhj-vh4q-hhmq,tkvideoplayer,pypi,medium,0,,0,False,
GHSA-j5cc-3h6r-jqh4,zope,pypi,medium,0,,0,False,
GHSA-fc72-v54c-x9jg,moin,pypi,medium,0,,0,False,
GHSA-5jjr-gmq3-f986,moin,pypi,high,0,,0,False,
GHSA-574f-mh6m-c6qm,moin,pypi,medium,0,,0,False,
GHSA-876c-qmcf-cxv6,moin,pypi,high,0,,0,False,
GHSA-977v-29j9-9rxc,moin,pypi,high,0,,0,False,
GHSA-5r4x-qc7q-vj27,Zope2,pypi,medium,1,call_with_ns,1,False,zopefoundation/Zope
GHSA-3mwg-gp5g-fv3q,feedparser,pypi,medium,0,,0,False,
GHSA-mpg6-rgp4-35rr,pyftpdlib,pypi,medium,0,,0,False,
GHSA-8gv6-x88p-3f6h,pyftpdlib,pypi,medium,0,,0,False,
GHSA-62xg-239j-vxg7,pyftpdlib,pypi,medium,0,,0,False,
GHSA-h4g7-8m7r-87r9,pyftpdlib,pypi,high,0,,0,False,
GHSA-jj23-fj2v-m872,moin,pypi,high,0,,0,False,
GHSA-f9qv-j5g6-g5cr,trac,pypi,high,0,,0,False,
GHSA-p6m5-h7pp-v2x5,Django,pypi,high,2,clean,1,False,django/django
GHSA-mj3x-wprp-mvj9,buildbot,pypi,medium,1,body;force;rebuild;stop;with_args,5,False,buildbot/buildbot
GHSA-jqqh-999x-w26w,buildbot,pypi,medium,1,body,1,False,buildbot/buildbot
GHSA-xv6x-43gq-4hfj,PyGreSQL,pypi,high,2,TestEscapeFunctions;__getattr__;__getitem__;__init__;_do_debug;_quote;_quote_bool;_quote_date;_quote_money;_quote_num;_quote_text;_quotedict;_quoteitem;_quoteparams;_split_schema;close;executemany;get;getdescr;insert;query;reopen;setUp;smart_ddl;tearDown;testAllConnectAttributes;testAllDBAttributes;testAttributeUser;testCanConnectTemplate1;testMethodClose;testPrint;testQuote;testUnescapeBytea;test_update;update,35,True,PyGreSQL/PyGreSQL
